ИндексОПС;Доставочный уч.;Улица;Дом ;Номер подъезда;Кол-во квартир
398916;ДУ-1;Соловьиная;Дом 5;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 6;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 7;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 8;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 9;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 10;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 11;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 12;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 13;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 14;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 15;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 16;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 17;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 18;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 19;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 20;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 21;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 22;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 23;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 24;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 81;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 82;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 27;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 28;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 29;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 31;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 32;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 33;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 53;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 54;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 55;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 56;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 3;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 41;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 42;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 43;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 48;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 49;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 50;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 51;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 34;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 35;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 37;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 38;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 44;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 45;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 46;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 1;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 2;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 4;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 36;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 39;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 40;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 47;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 63;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 65;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 66;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 67;Подъезд-;Квартир-
398916;ДУ-1;Соловьиная;Дом 68;Подъезд-;Квартир-
